#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
28.260	498	28.286	487
28.311	488	28.336	488
28.362	476	28.387	488
28.412	463	28.438	487
28.463	449	28.489	488
28.513	435	28.539	488
28.565	423	28.590	487
28.615	411	28.640	487
28.666	401	28.692	488
28.716	395	28.742	487
28.767	391	28.793	488
28.817	390	28.843	488
28.869	392	28.894	487
28.919	397	28.944	487
28.970	405	28.996	488
29.020	415	29.046	488
29.071	427	29.097	487
29.122	440	29.147	488
29.173	453	29.198	488
29.223	467	29.249	487
29.274	479	29.300	488
29.324	491	29.350	488
29.376	500	29.401	488
29.426	506	29.451	487
29.477	510	29.503	488
29.527	511	29.553	487
29.578	508	29.604	487
29.628	504	29.654	487
29.680	495	29.705	488
29.730	486	29.755	488
29.781	474	29.807	488
29.831	461	29.857	487
29.882	448	29.908	488
29.933	435	29.958	487
29.984	423	30.009	488
30.035	411	30.060	487
30.085	403	30.111	487
30.136	397	30.161	488
30.187	394	30.212	487
30.238	393	30.262	487
30.288	395	30.314	488
30.339	400	30.364	488
30.389	408	30.415	487
30.441	417	30.465	488
30.491	429	30.516	487
30.542	441	30.566	488
30.592	454	30.618	488
30.643	467	30.668	488
30.693	479	30.719	487
30.745	490	30.769	488
30.795	498	30.820	488
30.846	504	30.871	487
30.896	507	30.922	487
30.947	508	30.972	487
30.998	506	31.023	488
31.049	501	31.073	487
31.099	493	31.125	488
31.150	484	31.175	487
31.200	472	31.226	488
31.252	460	31.276	487
31.302	447	31.327	488
31.353	435	31.377	487
31.403	423	31.429	487
31.454	413	31.479	487
31.504	405	31.530	487
31.556	398	31.580	488
31.606	396	31.631	487
31.657	395	31.682	488
31.707	398	31.733	487
31.758	403	31.783	488
31.809	410	31.834	487
31.860	419	31.884	488
31.910	431	31.936	487
31.961	443	31.986	488
32.011	455	32.037	487
32.063	467	32.087	487
32.113	479	32.138	487
32.164	488	32.188	488
32.214	496	32.240	487
32.265	502	32.290	488
32.315	505	32.341	488
32.367	506	32.391	487
32.417	503	32.442	488
32.468	498	32.493	487
32.518	490	32.544	488
32.569	481	32.594	488
32.620	471	32.645	488
32.671	458	32.695	487
32.721	447	32.747	488
32.772	434	32.797	488
32.822	424	32.848	488
32.874	414	32.898	487
32.924	406	32.949	487
32.975	401	32.999	487
33.025	398	33.051	487
33.076	398	33.102	488
33.126	400	33.152	487
33.178	405	33.203	488
33.228	412	33.253	487
33.279	422	33.305	488
33.329	432	33.355	488
33.380	444	33.406	488
33.431	456	33.456	487
33.482	467	33.507	488
33.532	478	33.558	487
33.583	487	33.609	487
33.633	495	33.659	488
33.685	500	33.710	487
33.735	502	33.760	488
33.786	503	33.812	488
33.836	500	33.862	488
33.887	495	33.913	487
33.937	488	33.963	487
33.989	479	34.014	487
34.039	469	34.064	488
34.090	457	34.116	487
34.140	446	34.166	487
34.191	434	34.217	488
34.242	424	34.267	487
34.293	415	34.318	488
34.343	408	34.369	487
34.394	402	34.420	488
34.444	400	34.470	487
34.496	400	34.521	488
34.546	402	34.571	488
34.597	408	34.623	488
34.647	415	34.673	488
34.698	423	34.724	488
34.748	434	34.774	488
34.800	445	34.825	488
34.850	456	34.875	487
34.901	468	34.927	487
34.951	477	34.977	488
35.002	486	35.028	488
35.053	493	35.078	488
35.104	498	35.129	487
35.154	501	35.180	488
35.205	500	35.231	487
35.255	497	35.281	488
35.307	493	35.332	487
35.357	485	35.382	487
35.408	477	35.434	488
35.458	467	35.484	488
35.509	456	35.535	488
35.559	446	35.585	488
35.611	435	35.636	488
35.661	425	35.686	487
35.712	416	35.738	488
35.762	409	35.788	487
35.813	404	35.839	487
35.864	402	35.889	487
35.915	403	35.940	488
35.965	405	35.991	488
36.016	410	36.042	487
36.066	416	36.092	488
36.118	426	36.143	487
36.168	435	36.193	488
36.219	446	36.245	488
36.269	456	36.295	488
36.320	467	36.346	487
36.371	477	36.396	488
36.422	485	36.447	487
36.472	492	36.497	488
36.523	496	36.549	487
36.573	498	36.599	488
36.624	498	36.650	487
36.675	495	36.700	487
36.726	490	36.751	488
36.776	484	36.802	487
36.827	475	36.853	488
36.877	465	36.903	488
36.929	455	36.954	488
36.979	445	37.004	487
37.030	434	37.056	487
37.080	425	37.106	487
37.131	417	37.157	488
37.182	411	37.207	487
37.233	406	37.258	488
37.283	405	37.308	487
37.334	405	37.360	487
37.384	408	37.410	488
37.435	412	37.461	488
37.486	419	37.511	488
37.537	428	37.562	487
37.588	437	37.613	488
37.638	447	37.664	487
37.689	457	37.714	488
37.740	467	37.765	487
37.791	476	37.815	488
37.841	484	37.867	487
37.892	490	37.917	488
37.942	494	37.968	487
37.994	496	38.018	488
38.044	495	38.069	487
38.095	493	38.119	487
38.145	488	38.171	488
38.196	482	38.221	487
38.246	473	38.272	488
38.298	464	38.322	487
38.348	454	38.373	487
38.399	444	38.424	487
38.449	434	38.475	488
38.500	426	38.525	487
38.551	418	38.576	488
38.602	412	38.626	487
38.652	408	38.678	488
38.703	407	38.728	488
38.753	407	38.779	488
38.805	410	38.829	487
38.855	414	38.880	487
38.906	421	38.931	487
38.956	429	38.982	487
39.007	438	39.032	487
39.057	448	39.083	488
39.109	458	39.133	487
39.159	467	39.184	487
39.210	476	39.235	488
39.260	483	39.286	488
39.311	489	39.336	487
39.362	492	39.387	487
39.413	494	39.437	488
39.463	494	39.489	488
39.514	491	39.539	487
39.564	485	39.590	488
39.616	480	39.640	487
39.666	472	39.691	488
39.717	463	39.742	487
39.767	453	39.793	488
39.818	444	39.843	487
39.868	435	39.894	488
39.920	426	39.944	487
39.970	419	39.995	488
40.021	413	40.046	488
40.071	410	40.097	488
40.122	409	40.147	487
40.173	409	40.198	487
40.224	412	40.248	488
40.274	417	40.300	487
40.325	423	40.350	487
40.375	431	40.401	487
40.427	440	40.451	488
40.477	449	40.502	488
40.528	458	40.553	487
40.578	467	40.604	487
40.629	475	40.655	488
40.679	482	40.705	487
40.731	487	40.756	488
