#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
37.283	622	37.309	488
37.334	608	37.360	491
37.385	587	37.410	493
37.436	562	37.461	494
37.487	533	37.512	494
37.537	501	37.563	491
37.588	467	37.613	490
37.639	435	37.664	486
37.690	406	37.714	483
37.740	381	37.766	478
37.791	361	37.816	473
37.841	347	37.867	467
37.893	341	37.917	463
37.943	342	37.968	458
37.994	350	38.018	453
38.044	365	38.070	450
38.095	386	38.120	448
38.145	412	38.171	447
38.197	442	38.221	447
38.247	474	38.272	449
38.298	506	38.323	451
38.348	538	38.374	455
38.399	566	38.424	460
38.450	590	38.475	466
38.501	607	38.525	472
38.551	619	38.577	478
38.602	624	38.627	484
38.652	621	38.678	490
38.704	610	38.728	495
38.754	594	38.779	499
38.805	571	38.830	502
38.855	545	38.881	503
38.906	515	38.931	503
38.956	483	38.982	501
39.008	452	39.032	498
39.058	422	39.083	493
39.109	395	39.134	488
39.159	374	39.185	481
39.210	358	39.235	473
39.261	349	39.286	466
39.312	346	39.336	459
39.362	350	39.388	452
39.413	362	39.438	446
39.463	380	39.489	441
39.515	402	39.539	438
39.565	430	39.590	437
39.616	460	39.641	437
39.666	491	39.692	440
39.717	521	39.742	443
39.767	550	39.793	449
39.819	575	39.843	456
39.869	595	39.894	464
39.920	608	39.945	473
39.970	616	39.996	481
40.021	617	40.046	490
40.072	611	40.097	497
40.123	598	40.147	503
40.173	579	40.199	509
40.224	555	40.249	512
40.274	527	40.300	513
40.326	497	40.350	512
40.376	467	40.401	510
40.427	438	40.452	504
40.477	410	40.503	498
40.528	388	40.554	490
40.578	370	40.604	481
40.630	358	40.655	471
40.680	353	40.705	462
40.731	354	40.757	452
40.781	362	40.807	444
40.832	375	40.858	436
40.883	395	40.908	432
40.934	420	40.959	428
40.984	447	41.010	427
41.035	476	41.061	428
41.085	506	41.111	432
41.137	533	41.162	438
41.187	559	41.212	445
41.238	580	41.264	454
41.288	597	41.314	465
41.339	606	41.365	476
41.390	610	41.415	486
41.441	608	41.466	497
41.491	598	41.516	506
41.542	583	41.568	514
41.592	562	41.618	519
41.643	538	41.669	522
41.694	511	41.719	523
41.745	482	41.770	521
41.795	453	41.821	516
41.846	427	41.872	509
41.896	403	41.922	500
41.948	384	41.973	490
41.998	370	42.023	479
42.049	362	42.075	467
42.099	359	42.125	455
42.150	364	42.176	444
42.201	375	42.226	435
42.252	391	42.277	426
42.302	412	42.327	421
42.353	436	42.379	418
42.403	463	42.429	418
42.454	491	42.480	421
42.505	518	42.530	427
42.556	543	42.581	435
42.606	566	42.632	445
42.657	583	42.683	457
42.707	595	42.733	469
42.759	602	42.784	482
42.809	602	42.834	494
42.860	596	42.886	506
42.910	584	42.936	516
42.961	567	42.987	523
43.012	545	43.037	528
43.063	521	43.088	531
43.113	495	43.138	530
43.164	468	43.190	526
43.214	442	43.240	520
43.265	418	43.291	511
43.316	398	43.341	500
43.367	383	43.392	487
43.417	373	43.443	473
43.468	368	43.494	460
43.518	369	43.544	447
43.570	376	43.595	435
43.620	389	43.645	424
43.671	407	43.697	416
43.721	428	43.747	412
43.772	452	43.798	410
43.823	478	43.848	411
43.874	504	43.899	415
43.924	528	43.950	424
43.975	550	44.001	435
44.025	569	44.051	446
44.076	582	44.102	461
44.127	591	44.152	474
44.178	594	44.203	490
44.229	592	44.254	503
44.279	583	44.305	516
44.330	569	44.355	526
44.381	551	44.406	534
44.432	530	44.456	538
44.482	506	44.508	538
44.533	481	44.558	536
44.583	456	44.609	530
44.635	433	44.659	522
44.685	413	44.710	511
44.736	397	44.761	496
44.786	384	44.812	482
44.837	378	44.862	466
44.887	376	44.913	450
44.939	381	44.963	437
44.989	390	45.014	425
45.040	404	45.065	413
45.090	422	45.116	407
45.141	444	45.166	403
45.192	467	45.217	402
45.243	491	45.267	406
45.293	514	45.319	413
45.344	535	45.369	424
45.394	555	45.420	436
45.446	569	45.470	451
45.496	580	45.521	466
45.547	584	45.572	483
45.597	585	45.623	499
45.648	579	45.673	514
45.698	569	45.724	527
45.750	554	45.774	536
45.800	536	45.825	542
45.851	515	45.876	546
45.901	493	45.927	544
45.952	469	45.977	540
46.003	448	46.028	532
46.054	428	46.078	521
46.104	410	46.130	507
46.155	398	46.180	491
46.205	389	46.231	474
46.257	386	46.281	457
46.307	387	46.332	442
46.358	393	46.383	426
46.408	404	46.434	413
46.459	419	46.484	403
46.510	437	46.535	398
46.561	458	46.585	396
46.611	480	46.636	398
46.662	501	46.687	404
46.712	521	46.738	413
46.763	540	46.788	426
46.814	555	46.839	441
46.865	566	46.889	458
46.915	574	46.941	475
46.966	576	46.991	493
47.016	574	47.042	509
47.068	566	47.092	525
47.118	555	47.143	536
47.169	539	47.194	545
47.219	521	47.245	550
47.270	501	47.296	551
47.321	481	47.346	549
47.372	461	47.397	542
47.422	441	47.447	531
47.473	425	47.499	517
47.523	411	47.549	501
47.574	402	47.600	484
47.625	396	47.650	465
47.676	395	47.701	447
47.726	399	47.752	430
47.777	406	47.803	416
47.827	419	47.853	404
47.879	433	47.904	396
47.929	451	47.954	392
47.980	470	48.006	391
48.030	489	48.056	396
48.081	508	48.107	404
48.132	526	48.157	416
48.183	541	48.208	431
48.233	553	48.258	448
48.284	561	48.310	466
48.334	565	48.360	485
48.385	565	48.411	504
48.436	561	48.461	520
48.487	552	48.512	535
48.537	540	48.563	546
48.588	525	48.614	554
48.638	508	48.664	557
48.690	490	48.715	555
48.740	472	48.765	550
48.791	454	48.817	540
48.841	438	48.867	528
48.892	425	48.918	511
48.943	414	48.968	493
48.994	408	49.019	474
49.044	405	49.070	455
49.095	406	49.121	437
49.145	411	49.171	420
49.196	420	49.222	405
49.247	432	49.272	395
49.298	447	49.323	388
49.348	463	49.374	386
49.399	480	49.425	388
49.449	497	49.475	395
