#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
33.633	449	33.659	439
33.685	443	33.710	449
33.735	438	33.760	458
33.786	438	33.812	468
33.836	439	33.862	477
33.887	444	33.913	485
33.938	451	33.963	492
33.989	460	34.014	498
34.039	471	34.064	502
34.090	482	34.116	503
34.140	495	34.166	503
34.191	507	34.217	501
34.242	519	34.267	496
34.293	529	34.318	490
34.343	537	34.369	483
34.394	543	34.420	475
34.444	546	34.470	466
34.496	546	34.521	458
34.546	543	34.571	449
34.597	538	34.623	442
34.647	530	34.673	435
34.698	520	34.724	432
34.749	508	34.774	429
34.800	496	34.825	428
34.850	484	34.875	428
34.901	471	34.927	432
34.951	460	34.977	436
35.002	450	35.028	441
35.053	442	35.078	448
35.104	438	35.129	456
35.154	435	35.180	464
35.205	436	35.231	471
35.255	439	35.281	478
35.307	446	35.332	484
35.357	455	35.382	490
35.408	465	35.434	493
35.458	477	35.484	495
35.509	490	35.535	496
35.560	502	35.585	494
35.611	515	35.636	491
35.661	526	35.686	487
35.712	535	35.738	481
35.762	542	35.788	475
35.813	546	35.839	468
35.864	548	35.889	462
35.915	546	35.940	455
35.965	542	35.991	449
36.016	535	36.042	445
36.066	525	36.092	440
36.118	514	36.143	438
36.168	502	36.193	436
36.219	489	36.245	436
36.269	476	36.295	438
36.320	464	36.346	441
36.371	453	36.396	445
36.422	444	36.447	450
36.472	438	36.498	455
36.523	435	36.549	460
36.573	433	36.599	467
36.624	437	36.650	472
36.675	442	36.700	478
36.726	449	36.751	481
36.777	460	36.802	485
36.827	471	36.853	487
36.878	484	36.903	488
36.929	497	36.954	486
36.980	510	37.004	485
37.030	522	37.056	482
37.081	532	37.106	478
37.131	540	37.157	474
37.183	546	37.207	470
37.233	548	37.258	464
37.284	549	37.309	460
37.334	545	37.360	455
37.385	539	37.410	452
37.435	530	37.461	448
37.487	520	37.511	446
37.537	508	37.562	445
37.588	494	37.613	445
37.638	481	37.664	445
37.689	468	37.714	447
37.740	457	37.765	449
37.791	447	37.815	453
37.841	440	37.867	457
37.892	435	37.917	460
37.942	434	37.968	464
37.994	435	38.018	468
38.044	439	38.069	470
38.095	446	38.120	474
38.145	455	38.171	476
38.196	466	38.221	478
38.246	478	38.272	478
38.298	491	38.322	479
38.348	504	38.373	478
38.399	517	38.424	476
38.449	528	38.475	474
38.500	537	38.525	471
38.551	543	38.576	469
38.602	548	38.626	466
38.652	549	38.678	463
38.703	547	38.728	460
38.753	541	38.779	458
38.805	534	38.829	455
38.855	524	38.880	454
38.906	513	38.931	453
38.956	500	38.982	453
39.007	486	39.032	453
39.058	474	39.083	454
39.109	461	39.133	456
39.159	451	39.184	457
39.210	443	39.235	459
39.260	437	39.286	461
39.311	434	39.336	463
39.362	434	39.387	465
39.413	437	39.437	467
39.463	443	39.489	468
39.514	451	39.539	469
39.564	461	39.590	470
39.616	474	39.640	471
39.666	486	39.691	471
39.717	499	39.742	470
39.767	512	39.793	469
39.818	523	39.844	468
39.869	533	39.894	468
39.920	541	39.945	466
39.970	546	39.995	465
40.021	548	40.047	464
40.071	547	40.097	463
40.122	544	40.148	462
40.173	537	40.198	462
40.224	528	40.249	461
40.274	517	40.300	461
40.325	505	40.351	461
40.375	492	40.401	461
40.427	479	40.452	461
40.477	467	40.502	462
40.528	456	40.554	462
40.578	447	40.604	463
40.629	440	40.655	463
40.680	436	40.705	464
40.731	435	40.756	463
40.781	437	40.806	464
40.832	441	40.858	464
40.882	448	40.908	464
40.933	457	40.959	464
40.984	468	41.009	463
41.035	481	41.060	463
41.085	493	41.111	463
41.136	506	41.162	463
41.186	518	41.212	463
41.238	529	41.263	463
41.288	537	41.313	463
41.339	543	41.365	464
41.389	546	41.415	465
41.440	547	41.466	464
41.491	544	41.516	466
41.542	539	41.567	465
41.592	531	41.618	466
41.643	521	41.669	465
41.693	510	41.719	467
41.744	497	41.770	466
41.795	485	41.820	466
41.846	473	41.871	466
41.896	462	41.922	465
41.947	451	41.973	465
41.997	444	42.023	465
42.049	439	42.074	464
42.099	437	42.124	463
42.150	437	42.176	462
42.200	440	42.226	461
42.251	446	42.277	461
42.302	454	42.327	460
42.353	464	42.378	460
42.403	476	42.429	460
42.454	488	42.480	460
42.504	500	42.530	460
42.555	512	42.581	461
42.606	523	42.631	461
42.657	532	42.682	463
42.707	539	42.733	464
42.758	543	42.784	464
42.808	545	42.834	465
42.860	544	42.885	467
42.910	540	42.935	467
42.961	533	42.987	468
43.011	524	43.037	469
43.062	514	43.088	470
43.113	502	43.138	470
43.164	490	43.189	469
43.214	478	43.240	469
43.265	466	43.291	468
43.315	457	43.341	467
43.366	448	43.392	466
43.417	442	43.442	464
43.468	439	43.493	463
43.518	438	43.544	462
43.569	440	43.595	461
43.619	445	43.645	459
43.671	452	43.696	459
43.721	461	43.746	458
43.772	471	43.798	458
43.822	483	43.848	458
43.873	495	43.899	458
43.924	507	43.949	459
43.975	517	44.000	460
44.025	527	44.051	461
44.076	534	44.102	463
44.126	540	44.152	464
44.178	542	44.203	466
44.228	542	44.253	467
44.279	539	44.304	469
44.329	534	44.355	470
44.380	527	44.406	471
44.430	517	44.456	472
44.482	506	44.507	472
44.532	495	44.557	472
44.583	483	44.609	471
44.633	473	44.659	470
44.684	462	44.710	469
